program_code,title_hint
5148,City Planning
5306,Design
5312,Cultural Leadership
5334,Psychology
5335,Mining Engineering
5357,Social Impact
5373,Engineering Science
5437,Analytics
5507,Public Health
5546,Information Technology
5649,Cyber Security
5659,Mathematics and Statistics
7014,Women's Health Medicine
7123,Construction Project Management
7127,Property and Development
7148,City Planning
7306,Design
7316,Management
7318,Cultural Leadership
7327,Teaching
7328,Cyber Security
7329,Cyber Security Operations
7331,"Cyber Security, Strategy and Diplomacy"
7355,Commerce
7367,Global Health
7373,Engineering Science
7401,Education
7412,Economics
7430,Applied Finance
7446,Data Science
7459,Sustainable and Inclusive Business
7471,Cyber Security Leadership
7473,Public Service Implementation
7478,Digital Engineering
7543,Computing
7546,Information Technology
7572,Strategy and Security
7960,Educational Leadership
8121,Construction Project Management
8127,Property and Development
8143,Architecture
8144,Architecture / Property and Development
8148,City Planning
8224,Combined Arts/Social Sciences
8233,International Relations
8234,PR and Advertising / Design
8259,Public Policy & Governance
8318,Construction Project Management / Property and Development
8335,Mining Engineering
8338,Engineering Science
8339,Engineering Science / Commerce
8351,Business Administration
8371,International Business
8388,Business
8404,Commerce
8406,Finance
8417,Commerce (Extension)
8436,Applied Finance
8476,Finance
8478,Digital Engineering
8544,Information Technology / Commerce
8567,Systems Engineering
8621,Engineering
8622,Space Engineering
8623,Environmental Management
8625,Business Administration (Part-time)
8628,Cyber Security
8629,Cyber Security Operations
8631,"Cyber Security, Strategy and Diplomacy"
8638,Cyber Security (Bengaluru)
8646,Data Science
8649,Cyber Security
8717,Materials Technology
8901,Health Leadership and Management
8902,Health Leadership and Management (Extension)
8913,Education
8925,Teaching (Primary)
8926,Teaching (Secondary)
8930,Counselling Social Work
8942,Development Studies
8959,Data Science and Decisions
8963,Educational Leadership
9014,Women's Health Medicine
9041,Health Leadership and Management / Infectious Diseases Intelligence
9043,Global Health / Public Health
9045,Public Health
9047,Public Health / Health Leadership and Management
9048,Global Health
9054,Global Health / Public Health (Extension)
9057,Public Health / Health Leadership and Management (Extension)
9150,Juris Doctor
9201,Law
9225,Law / Business Administration (Part-time)
9250,Taxation
9313,Design
9318,Curating and Cultural Leadership
